Timestamp,Value,Temperature,Holiday Flag,hour,min,time,hr_sin,hr_cos
2015-07-03 14:30:00+00:00,6997.984367355444,31.0,0.0,14,30,14.5,-0.6087614290087203,-0.7933533402912354
2015-07-03 15:30:00+00:00,15518.012898186347,33.0,0.0,15,30,15.5,-0.7933533402912349,-0.6087614290087209
2015-07-03 16:30:00+00:00,6674.491990937706,34.0,0.0,16,30,16.5,-0.9238795325112865,-0.38268343236509034
2015-07-03 17:30:00+00:00,4920.282615641486,33.0,0.0,17,30,17.5,-0.9914448613738103,-0.1305261922200525
2015-07-03 18:30:00+00:00,4118.787012290974,34.0,0.0,18,30,18.5,-0.9914448613738105,0.13052619222005127
2015-07-03 19:30:00+00:00,1719.9203354454062,31.0,0.0,19,30,19.5,-0.923879532511287,0.38268343236508917
2015-07-03 20:30:00+00:00,1158.4402269325794,29.0,0.0,20,30,20.5,-0.7933533402912357,0.6087614290087199
2015-07-03 21:30:00+00:00,1409.3340266945584,26.0,0.0,21,30,21.5,-0.608761429008721,0.7933533402912349
2015-07-03 22:30:00+00:00,6063.987507173932,23.0,0.0,22,30,22.5,-0.3826834323650904,0.9238795325112865
2015-07-03 23:30:00+00:00,8001.7658455307255,24.0,0.0,23,30,23.5,-0.13052619222005257,0.9914448613738103
2015-07-04 00:30:00+00:00,1805.5144971252137,23.0,0.0,0,30,0.5,0.13052619222005157,0.9914448613738104
2015-07-04 01:30:00+00:00,567.4154984983535,22.0,0.0,1,30,1.5,0.3826834323650898,0.9238795325112867
2015-07-04 02:30:00+00:00,882.0845771474424,21.0,0.0,2,30,2.5,0.6087614290087205,0.7933533402912353
2015-07-04 03:30:00+00:00,829.175927007605,20.0,0.0,3,30,3.5,0.7933533402912352,0.6087614290087207
2015-07-04 04:30:00+00:00,537.7113041576708,20.0,0.0,4,30,4.5,0.9238795325112867,0.38268343236508984
2015-07-04 05:30:00+00:00,528.5610734324422,19.0,0.0,5,30,5.5,0.9914448613738104,0.1305261922200517
2015-07-04 06:30:00+00:00,558.0784489407936,19.0,0.0,6,30,6.5,0.9914448613738105,-0.13052619222005138
2015-07-04 07:30:00+00:00,526.7473739352255,21.0,0.0,7,30,7.5,0.9238795325112868,-0.3826834323650895
2015-07-04 08:30:00+00:00,531.7292094640612,24.0,0.0,8,30,8.5,0.7933533402912354,-0.6087614290087203
2015-07-04 09:30:00+00:00,548.1147778831222,28.0,0.0,9,30,9.5,0.6087614290087209,-0.793353340291235
2015-07-04 10:30:00+00:00,496.87582105724607,28.0,0.0,10,30,10.5,0.3826834323650899,-0.9238795325112867
2015-07-04 11:30:00+00:00,544.2538553482747,29.0,0.0,11,30,11.5,0.130526192220052,-0.9914448613738104
2015-07-04 12:30:00+00:00,544.5224074197508,30.0,0.0,12,30,12.5,-0.13052619222005132,-0.9914448613738105
2015-07-04 13:30:00+00:00,507.3921644938976,32.0,0.0,13,30,13.5,-0.3826834323650892,-0.923879532511287
2015-07-04 14:30:00+00:00,545.7834345379873,33.0,0.0,14,30,14.5,-0.6087614290087203,-0.7933533402912354
2015-07-04 15:30:00+00:00,522.3143187263631,35.0,0.0,15,30,15.5,-0.7933533402912349,-0.6087614290087209
2015-07-04 16:30:00+00:00,514.8415654331096,34.0,0.0,16,30,16.5,-0.9238795325112865,-0.38268343236509034
2015-07-04 17:30:00+00:00,553.2951084213099,36.0,0.0,17,30,17.5,-0.9914448613738103,-0.1305261922200525
2015-07-04 18:30:00+00:00,556.0701464932316,35.0,0.0,18,30,18.5,-0.9914448613738105,0.13052619222005127
2015-07-04 19:30:00+00:00,534.5198157720105,35.0,0.0,19,30,19.5,-0.923879532511287,0.38268343236508917
2015-07-04 20:30:00+00:00,537.9837482881542,31.0,0.0,20,30,20.5,-0.7933533402912357,0.6087614290087199
